,Fulham,Nott'ham Forest,Bournemouth,Everton,Leeds United,West Ham,Huddersfield,Aston Villa,Burnley,Sheffield Utd,Cardiff City,Manchester Utd,Watford,Newcastle Utd,Leicester City,Liverpool,Brentford,Southampton,Wolves,Brighton,Tottenham,Arsenal,Norwich City,Crystal Palace,Chelsea,West Brom,Manchester City,Luton Town
831,33,69,54,45,0,66,0,75,33,12,0,69,0,93,0,69,75,0,36,48,60,78,0,36,60,0,102,27
832,30,39,30,60,0,54,0,60,24,33,0,81,0,99,0,45,57,0,78,63,51,90,0,78,48,0,93,27
833,81,36,72,42,0,75,0,63,15,18,0,69,0,90,0,51,84,0,48,54,45,69,0,33,54,0,102,39
834,33,48,18,45,0,30,0,30,48,60,0,69,0,84,0,87,75,0,54,75,72,78,0,36,75,0,99,24
835,81,33,51,51,0,30,0,69,51,57,0,63,0,51,0,87,60,0,63,51,42,81,0,72,33,0,96,18
836,45,51,54,63,0,48,0,66,33,24,0,90,0,60,0,63,48,0,87,60,51,90,0,33,57,0,78,39
837,99,24,42,63,0,33,0,36,57,54,0,69,0,72,0,102,42,0,54,24,75,60,0,54,54,0,90,36
838,60,45,48,42,0,30,0,60,51,39,0,75,0,66,0,96,78,0,24,66,60,60,0,63,60,0,102,15
839,60,72,39,51,0,63,0,57,30,39,0,108,0,63,0,72,66,0,57,51,51,69,0,33,42,0,96,21
840,57,12,57,30,0,30,0,69,48,51,0,66,0,75,0,102,81,0,39,72,84,84,0,42,42,0,90,9
841,33,57,24,66,0,60,0,48,24,51,0,39,0,99,0,87,45,0,66,99,48,87,0,48,48,0,84,27
842,33,69,48,48,0,33,0,54,54,21,0,81,0,42,0,66,75,0,48,75,66,93,0,60,69,0,93,12
843,48,66,33,42,0,33,0,75,30,30,0,90,0,78,0,99,75,0,57,63,42,84,0,36,36,0,87,36
844,24,54,24,27,0,54,0,66,27,45,0,54,0,81,0,69,90,0,36,93,54,102,0,54,51,0,102,33
845,51,45,51,63,0,51,0,69,54,33,0,105,0,72,0,81,51,0,45,78,60,63,0,33,36,0,84,15
846,42,30,42,60,0,60,0,48,63,27,0,69,0,78,0,75,45,0,60,60,63,90,0,36,75,0,90,27
847,69,51,54,36,0,42,0,66,39,48,0,75,0,69,0,102,57,0,30,42,72,48,0,39,87,0,93,21
848,48,63,63,24,0,60,0,87,51,33,0,66,0,57,0,84,57,0,81,42,60,81,0,42,27,0,84,30
849,33,42,36,51,0,15,0,78,57,72,0,84,0,57,0,90,39,0,45,81,45,90,0,36,60,0,96,33
850,48,27,33,57,0,48,0,72,42,42,0,78,0,78,0,78,75,0,36,66,48,63,0,78,51,0,96,24
851,69,54,15,30,0,63,0,60,30,33,0,69,0,69,0,87,63,0,57,69,33,81,0,69,54,0,90,45
852,39,51,30,24,0,45,0,66,30,69,0,78,0,48,0,93,63,0,51,84,84,84,0,51,42,0,90,18
853,63,39,30,45,0,54,0,84,30,18,0,60,0,84,0,78,63,0,54,63,66,72,0,72,51,0,102,12
854,33,24,42,75,0,42,0,81,24,54,0,84,0,84,0,93,63,0,57,75,48,87,0,42,24,0,84,24
855,27,48,33,54,0,45,0,57,42,51,0,102,0,75,0,72,75,0,48,66,36,78,0,45,81,0,81,24
856,45,33,9,69,0,72,0,57,30,24,0,84,0,72,0,81,69,0,54,57,57,81,0,39,48,0,111,48
857,36,63,30,57,0,27,0,54,39,48,0,84,0,78,0,72,84,0,33,84,54,75,0,39,60,0,99,24
858,24,18,45,54,0,57,0,93,21,48,0,75,0,93,0,87,51,0,48,60,78,69,0,39,48,0,93,39
859,24,39,21,33,0,48,0,81,54,30,0,99,0,90,0,54,84,0,30,78,78,66,0,60,60,0,102,9
860,42,30,48,51,0,84,0,27,45,42,0,60,0,66,0,87,81,0,24,66,36,90,0,72,66,0,87,36
861,54,48,21,57,0,45,0,87,60,30,0,78,0,72,0,96,66,0,45,69,36,48,0,45,75,0,90,18
862,66,48,18,63,0,45,0,78,39,30,0,54,0,60,0,81,63,0,57,66,84,78,0,60,36,0,93,21
863,39,42,48,45,0,36,0,90,24,12,0,72,0,78,0,81,75,0,45,75,57,81,0,48,84,0,84,24
864,66,21,39,39,0,66,0,78,45,66,0,81,0,72,0,57,27,0,33,66,78,75,0,48,60,0,93,30
865,33,63,51,54,0,27,0,51,54,21,0,84,0,72,0,93,66,0,45,60,66,102,0,30,51,0,93,24
866,66,66,30,36,0,48,0,66,39,36,0,69,0,60,0,84,69,0,51,63,60,105,0,54,33,0,87,18
867,39,60,57,60,0,57,0,27,42,42,0,69,0,78,0,78,87,0,57,45,78,81,0,39,36,0,84,24
868,45,87,39,27,0,42,0,66,24,45,0,75,0,57,0,60,66,0,51,96,57,93,0,60,60,0,69,21
869,39,78,54,36,0,78,0,48,18,39,0,81,0,84,0,87,81,0,78,48,33,90,0,36,27,0,72,33
870,75,60,33,30,0,36,0,90,42,27,0,78,0,84,0,78,42,0,51,63,84,66,0,69,54,0,60,18
871,57,33,63,33,0,33,0,81,42,18,0,75,0,57,0,84,51,0,48,93,63,84,0,66,42,0,87,30
872,51,30,54,51,0,54,0,63,24,30,0,84,0,102,0,81,60,0,84,60,66,45,0,30,63,0,81,27
873,36,57,33,45,0,57,0,60,60,42,0,87,0,57,0,57,69,0,42,75,81,84,0,39,42,0,111,6
874,72,60,21,63,0,57,0,81,60,27,0,60,0,60,0,72,51,0,51,69,57,63,0,30,66,0,96,24
875,69,39,24,51,0,57,0,54,30,24,0,78,0,84,0,78,51,0,54,78,75,69,0,60,33,0,96,36
