,Fulham,Nott'ham Forest,Bournemouth,Everton,Leeds United,West Ham,Huddersfield,Aston Villa,Burnley,Sheffield Utd,Cardiff City,Manchester Utd,Watford,Newcastle Utd,Leicester City,Liverpool,Brentford,Southampton,Wolves,Brighton,Tottenham,Arsenal,Norwich City,Crystal Palace,Chelsea,West Brom,Manchester City,Luton Town
927,39,30,30,48,0,81,0,60,51,39,0,51,0,63,0,84,69,0,48,87,54,75,0,45,66,0,90,30
928,57,36,36,39,0,51,0,78,30,24,0,78,0,81,0,78,60,0,27,75,66,105,0,42,63,0,96,18
929,48,69,48,57,0,42,0,84,42,24,0,81,0,66,0,78,51,0,42,66,30,72,0,60,54,0,99,27
930,78,21,45,36,0,57,0,57,66,42,0,90,0,69,0,75,33,0,42,81,60,72,0,27,69,0,96,24
931,51,51,63,21,0,48,0,72,39,18,0,93,0,81,0,66,66,0,54,57,39,66,0,45,54,0,111,45
932,66,39,30,45,0,36,0,75,27,27,0,90,0,72,0,87,84,0,39,45,78,81,0,60,27,0,87,45
933,54,30,18,51,0,36,0,66,42,45,0,63,0,108,0,72,48,0,57,21,72,90,0,72,63,0,102,30
934,63,48,27,42,0,69,0,78,51,36,0,78,0,90,0,81,72,0,36,48,45,54,0,48,48,0,90,36
935,42,39,21,51,0,39,0,54,87,27,0,75,0,45,0,78,54,0,54,78,54,93,0,81,30,0,93,45
936,48,63,21,78,0,48,0,54,48,27,0,75,0,69,0,96,60,0,48,69,75,69,0,39,51,0,84,18
937,72,33,33,60,0,48,0,51,45,27,0,90,0,75,0,60,63,0,81,36,66,90,0,45,51,0,96,18
938,57,24,36,27,0,63,0,78,15,63,0,72,0,66,0,81,66,0,51,54,63,90,0,66,48,0,90,30
939,42,66,57,51,0,57,0,78,6,18,0,84,0,72,0,60,78,0,33,60,57,78,0,45,57,0,99,42
940,75,63,30,45,0,60,0,63,36,51,0,75,0,57,0,78,51,0,51,33,54,84,0,57,69,0,87,21
941,66,30,45,30,0,69,0,84,39,21,0,78,0,69,0,78,75,0,33,72,48,72,0,39,48,0,99,45
942,63,69,36,45,0,54,0,66,45,18,0,84,0,57,0,96,57,0,18,36,63,84,0,51,72,0,105,21
943,51,36,48,39,0,51,0,51,15,18,0,51,0,72,0,75,72,0,45,90,81,84,0,51,81,0,96,33
944,57,48,39,54,0,39,0,69,18,33,0,75,0,93,0,75,78,0,78,42,54,78,0,45,60,0,84,21
945,36,12,66,51,0,75,0,75,42,72,0,69,0,69,0,66,57,0,60,54,87,36,0,54,24,0,102,33
946,30,51,27,36,0,33,0,72,51,42,0,63,0,99,0,96,48,0,69,57,54,87,0,30,63,0,96,36
947,48,60,36,30,0,36,0,60,27,45,0,90,0,81,0,90,54,0,48,66,78,96,0,33,51,0,102,9
948,48,57,42,42,0,45,0,90,60,21,0,84,0,81,0,72,90,0,36,45,42,99,0,48,42,0,87,9
949,57,48,12,51,0,36,0,81,51,45,0,105,0,87,0,81,39,0,63,60,51,69,0,45,42,0,102,15
950,45,57,51,57,0,45,0,42,24,48,0,57,0,93,0,69,78,0,51,45,66,90,0,69,42,0,96,15
951,39,48,27,48,0,33,0,93,36,27,0,66,0,72,0,87,66,0,54,66,81,105,0,36,33,0,96,27
952,57,48,24,45,0,39,0,57,54,21,0,78,0,72,0,72,99,0,39,66,63,93,0,69,63,0,57,24
953,54,54,30,21,0,33,0,81,39,54,0,81,0,45,0,93,72,0,39,54,54,78,0,63,63,0,87,45
954,54,24,36,57,0,57,0,96,39,27,0,84,0,66,0,63,72,0,54,87,45,69,0,72,51,0,66,21
955,42,57,42,39,0,54,0,57,42,15,0,66,0,45,0,84,87,0,51,66,69,102,0,69,45,0,81,27
956,30,51,42,60,0,36,0,78,90,12,0,60,0,63,0,75,42,0,39,105,72,57,0,57,33,0,99,39
957,45,45,30,27,0,57,0,69,30,51,0,66,0,75,0,87,48,0,42,66,63,81,0,63,69,0,90,36
958,57,66,36,33,0,54,0,84,30,24,0,93,0,63,0,81,57,0,45,54,63,96,0,42,54,0,87,21
959,54,36,57,21,0,60,0,78,42,24,0,60,0,72,0,84,81,0,48,63,72,57,0,57,42,0,102,30
960,60,72,39,30,0,81,0,75,30,21,0,84,0,78,0,78,75,0,54,60,42,81,0,36,27,0,81,36
961,42,51,42,27,0,54,0,63,45,33,0,93,0,87,0,90,60,0,45,63,51,72,0,39,63,0,84,36
962,63,21,33,51,0,57,0,81,30,36,0,87,0,42,0,81,45,0,72,84,51,54,0,66,42,0,102,42
963,33,39,42,45,0,42,0,87,51,57,0,75,0,84,0,72,69,0,48,66,69,84,0,30,54,0,87,6
964,48,36,48,69,0,33,0,72,66,27,0,66,0,96,0,57,48,0,39,48,87,90,0,81,33,0,84,12
965,54,39,36,60,0,54,0,48,84,54,0,93,0,60,0,63,81,0,51,48,57,90,0,48,36,0,63,21
966,90,48,48,42,0,63,0,72,39,21,0,60,0,66,0,63,51,0,51,51,75,84,0,69,42,0,87,18
967,60,36,72,24,0,51,0,75,51,63,0,87,0,69,0,60,78,0,54,54,57,75,0,24,33,0,87,30
968,48,72,45,51,0,45,0,99,15,27,0,96,0,66,0,84,45,0,30,63,48,78,0,42,57,0,84,45
969,60,39,36,51,0,66,0,81,51,36,0,75,0,69,0,78,51,0,48,90,72,69,0,45,18,0,90,15
970,60,51,48,27,0,42,0,66,27,21,0,78,0,87,0,102,69,0,39,57,57,90,0,42,36,0,96,45
971,42,48,33,69,0,51,0,75,18,30,0,66,0,81,0,78,72,0,39,78,51,96,0,57,54,0,84,18
972,66,81,33,51,0,36,0,54,36,39,0,78,0,72,0,84,45,0,24,69,63,60,0,60,72,0,99,18
